# val_loss,val_rse,val_corr,loss,rse,corr
1.776978466793020794e-02,4.213011287824278694e-01,5.982907806684359953e-01,8.004116815659562123e-02,1.074477753531075219e+00,6.994674695544993437e-01
1.217359194907763516e-02,2.919993300379942758e-01,5.731148345446552828e-01,1.764544647097649605e-02,2.393225359811027020e-01,9.027914944356375537e-01
8.121328901376932002e-03,2.267538987856907162e-01,5.621538240681048793e-01,9.448768297157893528e-03,1.342631451031960355e-01,9.717929568355349046e-01
1.057218340157567091e-02,2.658417931783182420e-01,5.271325728753435413e-01,1.036852980236502471e-02,1.418172676384262532e-01,9.800599681697125254e-01
8.151914462052786345e-03,2.147215097417817797e-01,5.711604839401354106e-01,7.089311061805741131e-03,1.101699713714677231e-01,9.809869586240511641e-01
8.366599901498046957e-03,2.224805670575863703e-01,5.747284046314304895e-01,5.046772191299045765e-03,9.448028608333082501e-02,9.822891320998278220e-01
7.116096590556343117e-03,2.104099594983931676e-01,5.696703174254071911e-01,4.732740376284491450e-03,9.322801833667397620e-02,9.825987705224745739e-01
6.190098840769950837e-03,1.976572878882608686e-01,5.631434826209651412e-01,4.800012343435920530e-03,9.329639612944705396e-02,9.825996351316649280e-01
6.710402327769559618e-03,2.026459834350536893e-01,5.827651856112718853e-01,4.959106784240110803e-03,9.408981944274107112e-02,9.827743194399088944e-01
7.653166205543646648e-03,2.102131909225802286e-01,5.815606288217508579e-01,4.791825009962472244e-03,9.341011883941506555e-02,9.827274650925764687e-01
